objid,sample,asset_id,OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,image_path
587725552288858146,original,10266,587725552288858146,13:22:19.50,+67:13:19.6,31,0.774,0.0,0.0,0.032,0.194,0.0,0.032,0.703,0.078,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10266.jpg
587725552289448002,original,10268,587725552289448002,13:34:44.91,+66:50:04.3,26,0.846,0.0,0.0,0.0,0.038,0.115,0.0,0.846,0.0,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10268.jpg
587725552289710223,original,10269,587725552289710223,13:40:41.02,+66:41:22.6,37,0.054,0.0,0.811,0.081,0.0,0.054,0.892,0.014,0.93,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10269.jpg
587725552289841222,original,10270,587725552289841222,13:44:20.87,+66:37:17.6,35,0.114,0.0,0.0,0.086,0.143,0.657,0.086,0.114,0.086,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10270.jpg
587725552290103477,original,10271,587725552290103477,13:49:52.46,+66:25:11.2,34,0.676,0.029,0.029,0.265,0.0,0.0,0.324,0.562,0.438,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10271.jpg
587725552290299985,original,10272,587725552290299985,13:54:00.67,+66:16:50.5,46,0.804,0.022,0.0,0.087,0.087,0.0,0.109,0.804,0.109,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10272.jpg
587725552290431067,original,10273,587725552290431067,13:56:30.34,+66:13:14.6,33,0.636,0.0,0.0,0.121,0.242,0.0,0.121,0.636,0.121,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10273.jpg
587725552290496652,original,10274,587725552290496652,13:58:08.24,+66:10:34.4,35,0.886,0.0,0.0,0.114,0.0,0.0,0.114,0.867,0.133,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10274.jpg
587725552290693264,original,10276,587725552290693264,14:02:34.66,+65:52:03.2,28,0.5,0.0,0.429,0.036,0.036,0.0,0.464,0.179,0.77,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10276.jpg
587725552290758776,original,10277,587725552290758776,14:03:41.78,+65:54:29.2,53,0.226,0.547,0.0,0.17,0.038,0.019,0.717,0.057,0.877,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10277.jpg
587725552290889770,original,10279,587725552290889770,14:05:53.35,+65:42:27.8,35,0.914,0.0,0.0,0.029,0.029,0.029,0.029,0.914,0.029,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10279.jpg
587725552290889771,original,10280,587725552290889771,14:05:57.37,+65:41:26.7,20,0.85,0.05,0.0,0.05,0.05,0.0,0.1,0.742,0.201,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10280.jpg
587725552290889892,original,10281,587725552290889892,14:05:48.89,+65:47:14.1,34,0.147,0.059,0.765,0.029,0.0,0.0,0.853,0.147,0.853,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10281.jpg
587725552290889922,original,10282,587725552290889922,14:05:44.20,+65:39:49.4,61,0.525,0.016,0.0,0.344,0.115,0.0,0.361,0.448,0.434,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10282.jpg
587725552290955439,original,10283,587725552290955439,14:07:47.88,+65:45:10.9,27,0.259,0.037,0.074,0.519,0.0,0.111,0.63,0.151,0.73,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10283.jpg
587725552291086439,original,10285,587725552291086439,14:09:48.57,+65:30:58.9,49,0.551,0.0,0.02,0.367,0.061,0.0,0.388,0.323,0.602,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10285.jpg
587725552291086454,original,10286,587725552291086454,14:10:31.43,+65:35:21.3,39,0.769,0.0,0.0,0.179,0.051,0.0,0.179,0.655,0.289,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10286.jpg
587725552291348486,original,10288,587725552291348486,14:14:27.51,+65:14:35.2,33,0.848,0.0,0.03,0.061,0.03,0.03,0.091,0.785,0.152,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10288.jpg
587725552291348625,original,10289,587725552291348625,14:15:33.85,+65:18:55.7,24,0.042,0.917,0.0,0.042,0.0,0.0,0.958,0.042,0.958,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10289.jpg
587725552291348668,original,10290,587725552291348668,14:15:39.12,+65:12:18.7,46,0.0,0.0,0.891,0.109,0.0,0.0,1.0,0.0,1.0,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10290.jpg
587725552291741772,original,10291,587725552291741772,14:22:31.54,+64:51:46.6,49,0.837,0.0,0.041,0.082,0.041,0.0,0.122,0.78,0.178,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10291.jpg
587725552292003923,original,10293,587725552292003923,14:27:27.92,+64:40:21.4,32,0.719,0.0,0.125,0.156,0.0,0.0,0.281,0.444,0.556,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10293.jpg
587725552292003939,original,10294,587725552292003939,14:27:11.93,+64:34:07.5,20,0.8,0.05,0.0,0.15,0.0,0.0,0.2,0.545,0.455,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10294.jpg
587725552292200586,original,10295,587725552292200586,14:31:24.88,+64:19:22.9,33,0.879,0.03,0.0,0.061,0.03,0.0,0.091,0.857,0.113,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10295.jpg
587725552292266104,original,10296,587725552292266104,14:31:49.37,+64:14:16.8,47,0.766,0.021,0.043,0.021,0.106,0.043,0.085,0.616,0.197,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10296.jpg
587725552292266159,original,10298,587725552292266159,14:32:38.34,+64:13:58.5,55,0.655,0.0,0.0,0.309,0.036,0.0,0.309,0.421,0.534,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10298.jpg
587725552804233386,original,10299,587725552804233386,07:44:46.40,+42:50:40.3,70,0.643,0.0,0.114,0.129,0.086,0.029,0.243,0.628,0.257,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10299.jpg
587725552804430216,original,10300,587725552804430216,07:46:11.28,+43:15:59.9,53,0.019,0.906,0.0,0.075,0.0,0.0,0.981,0.004,0.996,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10300.jpg
587725552804626478,original,10301,587725552804626478,07:46:53.81,+43:34:36.9,29,0.034,0.0,0.759,0.207,0.0,0.0,0.966,0.034,0.966,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10301.jpg
587725552804626744,original,10302,587725552804626744,07:47:15.86,+43:35:04.7,35,0.2,0.0,0.0,0.771,0.029,0.0,0.771,0.058,0.91,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10302.jpg
587725552805282039,original,10303,587725552805282039,07:51:28.24,+44:53:51.2,26,0.231,0.0,0.577,0.192,0.0,0.0,0.769,0.231,0.769,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10303.jpg
587725552805544240,original,10304,587725552805544240,07:53:04.73,+45:23:10.9,34,0.294,0.265,0.147,0.235,0.059,0.0,0.647,0.188,0.75,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10304.jpg
587725552805544305,original,10305,587725552805544305,07:53:18.85,+45:27:43.2,30,0.0,0.933,0.033,0.0,0.0,0.033,0.967,0.0,0.967,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10305.jpg
587725552805675323,original,10306,587725552805675323,07:54:22.89,+45:38:24.4,53,0.755,0.0,0.075,0.075,0.094,0.0,0.151,0.681,0.22,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10306.jpg
587725552805675326,original,10307,587725552805675326,07:53:55.01,+45:41:35.3,34,0.206,0.0,0.0,0.794,0.0,0.0,0.794,0.064,0.936,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10307.jpg
587725552805675364,original,10308,587725552805675364,07:54:24.36,+45:42:02.3,27,0.963,0.0,0.0,0.0,0.0,0.037,0.0,0.963,0.0,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10308.jpg
587725552805740776,original,10309,587725552805740776,07:54:51.87,+45:49:21.0,28,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10309.jpg
587725552805740825,original,10311,587725552805740825,07:54:30.48,+45:43:31.4,54,0.759,0.056,0.093,0.093,0.0,0.0,0.241,0.692,0.308,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10311.jpg
587725552805740901,original,10312,587725552805740901,07:54:52.06,+45:46:05.2,37,0.919,0.0,0.027,0.027,0.027,0.0,0.054,0.847,0.124,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10312.jpg
587725552805871773,original,10313,587725552805871773,07:55:27.92,+46:04:14.2,35,0.829,0.029,0.029,0.029,0.057,0.029,0.086,0.829,0.086,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10313.jpg
587725552805937428,original,10314,587725552805937428,07:55:56.08,+46:12:35.3,66,0.924,0.0,0.03,0.015,0.03,0.0,0.045,0.924,0.045,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10314.jpg
587725552806068449,original,10315,587725552806068449,07:56:54.46,+46:23:16.9,36,0.639,0.028,0.083,0.139,0.111,0.0,0.25,0.422,0.439,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10315.jpg
587725552806133996,original,10316,587725552806133996,07:57:28.89,+46:28:43.2,73,0.068,0.0,0.041,0.89,0.0,0.0,0.932,0.018,0.982,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10316.jpg
587725552806199384,original,10317,587725552806199384,07:57:41.45,+46:40:22.9,32,0.906,0.0,0.0,0.031,0.062,0.0,0.031,0.903,0.034,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10317.jpg
587725552806592557,original,10318,587725552806592557,08:00:33.26,+47:22:14.9,63,0.111,0.032,0.0,0.841,0.016,0.0,0.873,0.057,0.927,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10318.jpg
587725552807051513,original,10323,587725552807051513,08:03:57.39,+48:19:59.9,29,0.793,0.0,0.0,0.103,0.103,0.0,0.103,0.654,0.222,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10323.jpg
587725552807116948,original,10324,587725552807116948,08:04:32.92,+48:21:33.6,36,0.222,0.556,0.028,0.167,0.028,0.0,0.75,0.102,0.868,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10324.jpg
587725552807116950,original,10325,587725552807116950,08:04:14.09,+48:23:50.7,27,0.519,0.037,0.222,0.185,0.037,0.0,0.444,0.238,0.713,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10325.jpg
587725552807379133,original,10326,587725552807379133,08:06:44.87,+48:52:07.7,41,0.902,0.0,0.0,0.073,0.024,0.0,0.073,0.898,0.077,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10326.jpg
587725552807510173,original,10328,587725552807510173,08:07:51.47,+49:06:21.0,32,0.156,0.0,0.781,0.062,0.0,0.0,0.844,0.032,0.968,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10328.jpg
587725552807510212,original,10329,587725552807510212,08:07:24.69,+49:15:04.6,20,0.7,0.05,0.0,0.15,0.1,0.0,0.2,0.554,0.332,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10329.jpg
587725552807575825,original,10330,587725552807575825,08:08:19.23,+49:16:34.0,49,0.143,0.041,0.0,0.796,0.02,0.0,0.837,0.038,0.94,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10330.jpg
587725552807706909,original,10331,587725552807706909,08:09:05.78,+49:35:06.2,64,0.859,0.016,0.031,0.031,0.031,0.031,0.078,0.788,0.145,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10331.jpg
587725552807772319,original,10332,587725552807772319,08:09:49.20,+49:36:56.1,51,0.039,0.961,0.0,0.0,0.0,0.0,0.961,0.039,0.961,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10332.jpg
587725552807772371,original,10333,587725552807772371,08:09:56.05,+49:43:06.7,32,0.25,0.625,0.031,0.094,0.0,0.0,0.75,0.11,0.89,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10333.jpg
587725552807837839,original,10334,587725552807837839,08:09:49.47,+49:47:12.0,45,0.778,0.0,0.0,0.067,0.156,0.0,0.067,0.678,0.143,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10334.jpg
587725552807903422,original,10335,587725552807903422,08:11:01.73,+49:57:01.2,30,0.433,0.0,0.0,0.133,0.033,0.4,0.133,0.433,0.133,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10335.jpg
587725552808034491,original,10336,587725552808034491,08:11:17.27,+50:09:41.7,31,0.581,0.032,0.0,0.323,0.065,0.0,0.355,0.312,0.603,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10336.jpg
587725552808099989,original,10337,587725552808099989,08:11:45.79,+50:15:50.2,32,0.969,0.0,0.031,0.0,0.0,0.0,0.031,0.942,0.058,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10337.jpg
587725552808100073,original,10338,587725552808100073,08:12:22.72,+50:19:11.0,54,0.167,0.019,0.0,0.815,0.0,0.0,0.833,0.075,0.925,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10338.jpg
587725552808165571,original,10339,587725552808165571,08:12:28.86,+50:23:47.8,31,0.903,0.0,0.0,0.065,0.032,0.0,0.065,0.778,0.182,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10339.jpg
587725552808165610,original,10340,587725552808165610,08:12:49.31,+50:27:33.3,57,0.614,0.035,0.053,0.263,0.018,0.018,0.351,0.307,0.643,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10340.jpg
587725552808165649,original,10341,587725552808165649,08:12:50.33,+50:20:55.4,28,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10341.jpg
587725552808296605,original,10342,587725552808296605,08:14:16.04,+50:33:28.4,61,0.459,0.115,0.016,0.377,0.033,0.0,0.508,0.128,0.824,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10342.jpg
587725552808362181,original,10343,587725552808362181,08:14:57.32,+50:47:28.0,28,0.929,0.0,0.0,0.036,0.036,0.0,0.036,0.876,0.086,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10343.jpg
587725552808362188,original,10344,587725552808362188,08:14:16.47,+50:52:36.1,26,0.462,0.0,0.192,0.192,0.154,0.0,0.385,0.239,0.571,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10344.jpg
587725552808493270,original,10345,587725552808493270,08:15:51.16,+50:55:08.4,25,0.68,0.04,0.0,0.16,0.12,0.0,0.2,0.405,0.422,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10345.jpg
587725552808558798,original,10346,587725552808558798,08:16:18.06,+51:08:30.7,46,0.457,0.0,0.043,0.478,0.022,0.0,0.522,0.235,0.738,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10346.jpg
587725552808820748,original,10348,587725552808820748,08:18:15.23,+51:32:29.3,26,0.692,0.077,0.0,0.192,0.038,0.0,0.269,0.692,0.269,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10348.jpg
587725552808886400,original,10349,587725552808886400,08:19:15.86,+51:42:43.4,28,0.893,0.0,0.0,0.036,0.071,0.0,0.036,0.848,0.076,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10349.jpg
587725552809017526,original,10350,587725552809017526,08:19:51.73,+52:00:14.8,24,0.25,0.125,0.042,0.542,0.042,0.0,0.708,0.085,0.867,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10350.jpg
587725552809017559,original,10351,587725552809017559,08:20:06.43,+52:01:43.5,30,0.833,0.033,0.033,0.067,0.033,0.0,0.133,0.833,0.133,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10351.jpg
587725552809083011,original,10353,587725552809083011,08:19:57.90,+52:06:10.8,36,0.75,0.028,0.056,0.167,0.0,0.0,0.25,0.75,0.25,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10353.jpg
587725552809279539,original,10355,587725552809279539,08:23:04.40,+52:23:40.9,62,0.032,0.339,0.0,0.081,0.0,0.548,0.419,0.022,0.427,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10355.jpg
587725552809279599,original,10356,587725552809279599,08:22:35.67,+52:23:18.7,33,0.909,0.0,0.0,0.03,0.061,0.0,0.03,0.789,0.125,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10356.jpg
587725552809345232,original,10357,587725552809345232,08:22:59.70,+52:36:20.1,26,0.923,0.0,0.0,0.077,0.0,0.0,0.077,0.793,0.207,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10357.jpg
587725552809410691,original,10358,587725552809410691,08:23:15.74,+52:42:47.5,51,0.098,0.863,0.0,0.02,0.02,0.0,0.882,0.028,0.952,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10358.jpg
587725552809476111,original,10359,587725552809476111,08:23:44.95,+52:47:42.1,49,0.245,0.02,0.02,0.673,0.041,0.0,0.714,0.1,0.854,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10359.jpg
587725552809607406,original,10360,587725552809607406,08:25:59.50,+53:03:39.7,29,0.448,0.069,0.0,0.379,0.103,0.0,0.448,0.223,0.651,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10360.jpg
587725552809672810,original,10361,587725552809672810,08:26:25.38,+53:04:57.7,25,0.12,0.76,0.0,0.12,0.0,0.0,0.88,0.117,0.883,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10361.jpg
587725552809672823,original,10362,587725552809672823,08:26:17.36,+53:06:18.4,31,0.935,0.0,0.0,0.032,0.0,0.032,0.032,0.898,0.068,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10362.jpg
587725552809738286,original,10363,587725552809738286,08:26:23.63,+53:18:22.7,35,0.029,0.029,0.743,0.114,0.086,0.0,0.886,0.025,0.889,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10363.jpg
587725552809738322,original,10364,587725552809738322,08:26:59.25,+53:17:04.9,33,0.636,0.03,0.061,0.212,0.061,0.0,0.303,0.456,0.473,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10364.jpg
587725552809738431,original,10366,587725552809738431,08:26:26.15,+53:16:31.0,22,0.682,0.091,0.045,0.136,0.045,0.0,0.273,0.436,0.504,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10366.jpg
587725552809738434,original,10367,587725552809738434,08:26:58.80,+53:12:44.7,30,0.0,0.967,0.033,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10367.jpg
587725552809738460,original,10368,587725552809738460,08:26:45.38,+53:15:14.7,25,0.64,0.0,0.0,0.04,0.08,0.24,0.04,0.624,0.053,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10368.jpg
587725552809738477,original,10369,587725552809738477,08:26:10.85,+53:20:13.2,31,0.355,0.29,0.032,0.258,0.032,0.032,0.581,0.228,0.703,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10369.jpg
587725552809869494,original,10370,587725552809869494,08:28:05.23,+53:28:43.0,67,0.731,0.015,0.0,0.015,0.239,0.0,0.03,0.727,0.034,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10370.jpg
587725552809869550,original,10371,587725552809869550,08:27:38.56,+53:35:44.7,23,0.826,0.0,0.0,0.0,0.087,0.087,0.0,0.826,0.0,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10371.jpg
587725552809934935,original,10372,587725552809934935,08:28:09.57,+53:37:38.1,50,0.6,0.0,0.12,0.1,0.1,0.08,0.22,0.466,0.333,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10372.jpg
587725552809934946,original,10373,587725552809934946,08:29:00.54,+53:33:09.0,63,0.905,0.016,0.016,0.032,0.032,0.0,0.063,0.832,0.134,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10373.jpg
587725552810066108,original,10374,587725552810066108,08:30:32.66,+53:51:51.0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10374.jpg
587725552810131649,original,10375,587725552810131649,08:30:57.53,+53:58:27.1,26,0.923,0.0,0.038,0.038,0.0,0.0,0.077,0.846,0.154,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10375.jpg
587725552810131663,original,10376,587725552810131663,08:31:06.14,+53:59:13.9,37,0.973,0.0,0.027,0.0,0.0,0.0,0.027,0.943,0.057,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10376.jpg
587725552810131669,original,10377,587725552810131669,08:31:00.36,+54:00:23.3,54,0.944,0.0,0.019,0.037,0.0,0.0,0.056,0.906,0.094,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10377.jpg
587725552810131680,original,10378,587725552810131680,08:31:06.32,+54:00:08.9,30,0.767,0.0,0.033,0.067,0.133,0.0,0.1,0.632,0.209,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10378.jpg
587725552810197180,original,10379,587725552810197180,08:31:24.11,+53:59:48.1,22,0.045,0.773,0.091,0.091,0.0,0.0,0.955,0.045,0.955,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10379.jpg
587725552810197252,original,10380,587725552810197252,08:31:34.74,+54:08:11.9,36,0.389,0.056,0.0,0.389,0.167,0.0,0.444,0.235,0.579,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10380.jpg
587725552810262676,original,10381,587725552810262676,08:31:40.94,+54:10:28.4,33,0.848,0.0,0.0,0.03,0.03,0.091,0.03,0.813,0.061,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10381.jpg
587725552810262703,original,10382,587725552810262703,08:31:23.61,+54:14:25.7,23,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10382.jpg
587725552810393809,original,10383,587725552810393809,08:32:56.39,+54:32:49.2,37,0.838,0.0,0.0,0.054,0.108,0.0,0.054,0.715,0.149,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10383.jpg
587725552810459154,original,10384,587725552810459154,08:33:25.63,+54:33:32.7,22,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10384.jpg
587725552810459178,original,10385,587725552810459178,08:33:41.33,+54:32:57.6,59,0.949,0.0,0.0,0.017,0.034,0.0,0.017,0.949,0.017,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10385.jpg
587725552810524805,original,10386,587725552810524805,08:34:33.26,+54:38:12.2,50,0.46,0.1,0.06,0.38,0.0,0.0,0.54,0.162,0.838,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10386.jpg
587725552810721352,original,10387,587725552810721352,08:36:27.48,+54:58:52.0,27,0.037,0.778,0.0,0.148,0.037,0.0,0.926,0.018,0.944,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10387.jpg
587725552810786839,original,10388,587725552810786839,08:36:42.67,+55:08:09.8,58,0.914,0.0,0.017,0.034,0.034,0.0,0.052,0.87,0.094,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10388.jpg
587725552810786940,original,10389,587725552810786940,08:36:49.84,+55:10:57.5,33,0.212,0.091,0.0,0.697,0.0,0.0,0.788,0.063,0.937,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10389.jpg
587725552810852459,original,10390,587725552810852459,08:37:32.20,+55:15:04.8,35,0.829,0.0,0.0,0.086,0.086,0.0,0.086,0.812,0.102,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10390.jpg
587725552811049071,original,10391,587725552811049071,08:39:46.83,+55:37:42.8,57,0.14,0.105,0.018,0.737,0.0,0.0,0.86,0.071,0.929,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10391.jpg
587725552811049118,original,10392,587725552811049118,08:39:56.12,+55:34:02.3,26,0.808,0.0,0.038,0.115,0.038,0.0,0.154,0.808,0.154,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10392.jpg
587725552811049166,original,10393,587725552811049166,08:40:28.88,+55:36:00.3,56,0.821,0.0,0.018,0.125,0.036,0.0,0.143,0.821,0.143,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10393.jpg
587725552811114743,original,10394,587725552811114743,08:40:33.57,+55:46:23.1,55,0.818,0.0,0.018,0.164,0.0,0.0,0.182,0.818,0.182,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10394.jpg
587725552811245694,original,10395,587725552811245694,08:41:46.63,+55:55:20.6,54,0.63,0.0,0.019,0.278,0.074,0.0,0.296,0.602,0.323,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10395.jpg
587725552811376743,original,10396,587725552811376743,08:43:28.74,+56:09:25.4,63,0.873,0.016,0.0,0.048,0.063,0.0,0.063,0.848,0.088,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10396.jpg
587725552811376765,original,10397,587725552811376765,08:43:13.82,+56:14:06.5,64,0.359,0.391,0.047,0.172,0.016,0.016,0.609,0.084,0.874,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10397.jpg
587725552811442298,original,10398,587725552811442298,08:44:09.92,+56:15:25.1,25,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10398.jpg
587725552811507864,original,10399,587725552811507864,08:45:10.02,+56:24:25.2,37,0.568,0.0,0.081,0.27,0.027,0.054,0.351,0.278,0.61,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10399.jpg
587725552811573397,original,10400,587725552811573397,08:46:18.63,+56:28:24.6,36,0.0,0.917,0.0,0.0,0.0,0.083,0.917,0.0,0.917,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10400.jpg
587725552811638884,original,10402,587725552811638884,08:46:24.82,+56:31:17.9,23,0.87,0.0,0.043,0.043,0.043,0.0,0.087,0.782,0.17,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10402.jpg
587725552811901065,original,10403,587725552811901065,08:49:08.31,+57:05:17.3,34,0.647,0.029,0.0,0.206,0.118,0.0,0.235,0.578,0.301,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10403.jpg
587725552811966469,original,10404,587725552811966469,08:49:49.34,+57:05:30.5,25,0.68,0.0,0.0,0.24,0.04,0.04,0.24,0.68,0.24,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10404.jpg
587725552811966571,original,10405,587725552811966571,08:50:04.34,+57:04:33.4,54,0.519,0.019,0.296,0.13,0.037,0.0,0.444,0.244,0.707,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10405.jpg
587725552811966588,original,10406,587725552811966588,08:49:52.80,+57:07:10.9,32,0.906,0.0,0.0,0.0,0.062,0.031,0.0,0.906,0.0,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10406.jpg
587725552811966589,original,10407,587725552811966589,08:49:55.55,+57:07:19.3,46,0.0,0.022,0.935,0.0,0.0,0.043,0.957,0.0,0.957,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\10407.jpg
587725552811966601,original,10408,587725552811966601,08:49:44.89,+57:09:23.2,20,0.85,0.0,0.0,0.0,0.05,0.1,0.0,0.85,0.0,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\10408.jpg
587725552811966613,original,10409,587725552811966613,08:49:51.75,+57:08:37.5,27,0.815,0.0,0.074,0.074,0.037,0.0,0.148,0.815,0.148,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\10409.jpg
